CIDADE,QUANTIDADE_CRIMES,QUANTIDADE_POPULACAO,CRIMES_POR_100K,IDMH,cod_ibge,cod_ra,reg_administrativa,reg_metropolitanas,ideb2019
São Paulo,251285,11429865,2198.0,0.8,3550308,681,RM  de São Paulo,RM de Sao Paulo,4.1
Santo André,16033,752784,2130.0,0.81,3547809,681,RM  de São Paulo,RM de Sao Paulo,4.5
Campinas,13731,1140133,1204.0,0.8,3509502,686,RA de Campinas,RM de Campinas,4.4
Guarulhos,12815,1293335,991.0,0.76,3518800,681,RM  de São Paulo,RM de Sao Paulo,4.2
São Bernardo do Campo,11086,811198,1367.0,0.8,3548708,681,RM  de São Paulo,RM de Sao Paulo,4.4
Osasco,9412,731127,1287.0,0.77,3534401,681,RM  de São Paulo,RM de Sao Paulo,4.1
Diadema,6548,392224,1669.0,0.75,3513801,681,RM  de São Paulo,RM de Sao Paulo,4.4
Ribeirão Preto,5757,704874,817.0,0.8,3543402,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.1
Mauá,5529,417046,1326.0,0.76,3529401,681,RM  de São Paulo,RM de Sao Paulo,4.3
Sorocaba,4317,733301,589.0,0.79,3552205,685,RA de Sorocaba,RM de Sorocaba,4.6
Itaquaquecetuba,4176,372001,1123.0,0.71,3523107,681,RM  de São Paulo,RM de Sao Paulo,3.9
Praia Grande,3966,356054,1114.0,0.75,3541000,683,RA de Santos,RM da Baixada Santista,4.5
São José dos Campos,3961,700311,566.0,0.8,3549904,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.5
Santos,3923,417795,939.0,0.84,3548500,683,RA de Santos,RM da Baixada Santista,4.8
Carapicuíba,3885,386618,1005.0,0.74,3510609,681,RM  de São Paulo,RM de Sao Paulo,4.1
Suzano,3506,310255,1130.0,0.76,3552502,681,RM  de São Paulo,RM de Sao Paulo,4.2
São José do Rio Preto,3314,485356,683.0,0.79,3549805,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.6
São Vicente,3226,328574,982.0,0.76,3551009,683,RA de Santos,RM da Baixada Santista,4.3
Mogi das Cruzes,3136,455116,689.0,0.78,3530607,681,RM  de São Paulo,RM de Sao Paulo,4.3
Jundiaí,2967,448074,662.0,0.82,3525904,686,RA de Campinas,RM de Jundiai,4.9
Guarujá,2802,286515,978.0,0.75,3518701,683,RA de Santos,RM da Baixada Santista,4.1
Limeira,2797,292634,956.0,0.77,3526902,686,RA de Campinas,RM de Piracicaba,4.8
Sumaré,2653,281703,942.0,0.76,3552403,686,RA de Campinas,RM de Campinas,4.7
Taboão da Serra,2346,274537,855.0,0.76,3552809,681,RM  de São Paulo,RM de Sao Paulo,4.5
Cotia,2224,279346,796.0,0.78,3513009,681,RM  de São Paulo,RM de Sao Paulo,4.3
Americana,2141,238829,896.0,0.81,3501608,686,RA de Campinas,RM de Campinas,4.9
Ferraz de Vasconcelos,2040,179442,1137.0,0.73,3515707,681,RM  de São Paulo,RM de Sao Paulo,4.1
Barueri,2017,321672,627.0,0.78,3505708,681,RM  de São Paulo,RM de Sao Paulo,4.9
Bauru,2008,381196,527.0,0.8,3506003,688,RA de Bauru,Demais municípios,4.2
Franca,1940,354489,547.0,0.78,3516200,695,RA de Franca,Demais municípios,4.5
Itapecerica da Serra,1889,158321,1193.0,0.74,3522208,681,RM  de São Paulo,RM de Sao Paulo,4.6
São Carlos,1776,256743,692.0,0.8,3548906,693,RA Central,Demais municípios,4.8
São Caetano do Sul,1724,166398,1036.0,0.86,3548807,681,RM  de São Paulo,RM de Sao Paulo,5.1
Hortolândia,1710,239765,713.0,0.75,3519071,686,RA de Campinas,RM de Campinas,4.7
Taubaté,1698,312416,544.0,0.8,3554102,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.9
