DEPARTAMENTO,SECCIONAL,DP,MUNICIPIO
DECAP,3ª SEC,023 DP - Perdizes,São Paulo
DECAP,3ª SEC,014 DP - Pinheiros,São Paulo
DECAP,1ª SEC,001 DP - Sé,São Paulo
DECAP,1ª SEC,012 DP - Pari,São Paulo
DECAP,1ª SEC,078 DP - Jardins,São Paulo
DECAP,1ª SEC,003 DP - Campos Elísios,São Paulo
DECAP,4ª SEC,009 DP - Carandiru,São Paulo
DECAP,1ª SEC,004 DP - Consolação,São Paulo
DECAP,6ª SEC,011 DP - Santo Amaro,São Paulo
DECAP,3ª SEC,015 DP - Itaim Bibi,São Paulo
DECAP,2ª SEC,096 DP - Monções,São Paulo
DECAP,3ª SEC,037 DP - Campo Limpo,São Paulo
DECAP,3ª SEC,007 DP - Lapa,São Paulo
DECAP,1ª SEC,008 DP - Brás,São Paulo
DECAP,1ª SEC,002 DP - Bom Retiro,São Paulo
DECAP,4ª SEC,013 DP - Casa Verde,São Paulo
DECAP,2ª SEC,016 DP - Vila Clementino,São Paulo
DECAP,1ª SEC,005 DP - Aclimação,São Paulo
DECAP,1ª SEC,077 DP - Santa Cecília,São Paulo
DECAP,3ª SEC,037 DP - Campo Limpo,São Paulo
DECAP,2ª SEC,036 DP - Vila Mariana,São Paulo
DECAP,2ª SEC,017 DP - Ipiranga,São Paulo
DEMACRO,SEC Santo André,001 DP - Santo André,Santo André
DECAP,3ª SEC,034 DP - Vila Sonia,São Paulo
DEINTER 6,SEC Praia Grande,002 DP - Praia Grande,Praia Grande
DECAP,3ª SEC,014 DP - Pinheiros,São Paulo
DEINTER 2,1ª Seccional Campinas,001 DP - Campinas,Campinas
DECAP,6ª SEC,047 DP - Capão Redondo,São Paulo
DECAP,5ª SEC,030 DP - Tatuapé,São Paulo
DEINTER 3,SEC Ribeirão Preto,002 DP - Ribeirão Preto,Ribeirão Preto
DECAP,1ª SEC,006 DP - Cambuci,São Paulo
DEINTER 6,SEC Santos,DM - Guarujá,Guarujá
DEINTER 2,1ª Seccional Campinas,004 DP - Campinas,Campinas
DECAP,2ª SEC,027 DP - Campo Belo,São Paulo
DEINTER 6,SEC Praia Grande,001 DP - Praia Grande,Praia Grande
DECAP,1ª SEC,003 DP - Campos Elísios,São Paulo
DECAP,6ª SEC,101 DP - Jardim das Imbuias,São Paulo
DECAP,7ª SEC,065 DP - Artur Alvim,São Paulo
DECAP,2ª SEC,035 DP - Jabaquara,São Paulo
DECAP,6ª SEC,092 DP - Parque Santo Antônio,São Paulo
DECAP,6ª SEC,047 DP - Capão Redondo,São Paulo
DECAP,3ª SEC,023 DP - Perdizes,São Paulo
DECAP,4ª SEC,028 DP - Freguesia do Ó,São Paulo
DECAP,4ª SEC,073 DP - Jaçanã,São Paulo
DEMACRO,SEC Guarulhos,001 DP - Guarulhos,Guarulhos
DECAP,1ª SEC,001 DP - Sé,São Paulo
DECAP,5ª SEC,052 DP - Parque São Jorge,São Paulo
DECAP,6ª SEC,085 DP - Jardim Mirna,São Paulo
DECAP,7ª SEC,050 DP - Itaim Paulista,São Paulo
DECAP,3ª SEC,091 DP - Ceagesp,São Paulo
