CIDADE;QUANTIDADE_CRIMES;QUANTIDADE_POPULACAO;CRIMES_POR_100K
São Paulo;251285;11429865;2198.0
Santo André;16033;752784;2130.0
Campinas;13731;1140133;1204.0
Guarulhos;12815;1293335;991.0
São Bernardo do Campo;11086;811198;1367.0
Osasco;9412;731127;1287.0
Diadema;6548;392224;1669.0
Ribeirão Preto;5757;704874;817.0
Mauá;5529;417046;1326.0
Sorocaba;4317;733301;589.0
Itaquaquecetuba;4176;372001;1123.0
Praia Grande;3966;356054;1114.0
São José dos Campos;3961;700311;566.0
Santos;3923;417795;939.0
Carapicuíba;3885;386618;1005.0
Suzano;3506;310255;1130.0
São José do Rio Preto;3314;485356;683.0
São Vicente;3226;328574;982.0
Mogi das Cruzes;3136;455116;689.0
Jundiaí;2967;448074;662.0
Guarujá;2802;286515;978.0
Limeira;2797;292634;956.0
Sumaré;2653;281703;942.0
Taboão da Serra;2346;274537;855.0
Cotia;2224;279346;796.0
Americana;2141;238829;896.0
Ferraz de Vasconcelos;2040;179442;1137.0
Barueri;2017;321672;627.0
Bauru;2008;381196;527.0
Franca;1940;354489;547.0
Itapecerica da Serra;1889;158321;1193.0
São Carlos;1776;256743;692.0
São Caetano do Sul;1724;166398;1036.0
Hortolândia;1710;239765;713.0
Taubaté;1698;312416;544.0
Embu das Artes;1596;250540;637.0
Rio Claro;1589;202177;786.0
Piracicaba;1478;427094;346.0
Itanhaém;1399;114186;1225.0
Itapevi;1332;234026;569.0
Poá;1261;103206;1222.0
Jacareí;1187;241952;491.0
Barretos;967;123162;785.0
3545803.0;924;0;inf
Cubatão;917;111549;822.0
Araraquara;909;244361;372.0
Araçatuba;897;201053;446.0
Franco da Rocha;883;145574;607.0
Mogi Guaçu;860;154517;557.0
Mongaguá;858;63016;1362.0
Francisco Morato;840;165435;508.0
Marília;831;238602;348.0
Ribeirão Pires;824;115392;714.0
Lins;819;74858;1094.0
Presidente Prudente;770;226422;340.0
Cajamar;761;94792;803.0
Indaiatuba;753;259661;290.0
Araras;716;131466;545.0
Pindamonhangaba;660;166656;396.0
Peruíbe;650;68851;944.0
Caraguatatuba;634;137297;462.0
Paulínia;629;112548;559.0
Atibaia;625;160959;388.0
Arujá;615;87470;703.0
Birigui;599;119496;501.0
Jandira;587;118391;496.0
Campo Limpo Paulista;582;77665;749.0
Bragança Paulista;576;178980;322.0
Mairiporã;558;94534;590.0
Jaguariúna;543;60420;899.0
Ubatuba;539;94009;573.0
Várzea Paulista;526;116105;453.0
Caieiras;509;95414;533.0
Mogi Mirim;504;92791;543.0
Caçapava;496;96808;512.0
Itatiba;484;122969;394.0
Catanduva;472;115807;408.0
Itu;472;168918;279.0
Bertioga;465;65374;711.0
Jaboticabal;453;71689;632.0
Botucatu;443;146232;303.0
Sertãozinho;442;127904;346.0
Valinhos;433;127691;339.0
Jaú;427;133548;320.0
Itapetininga;414;158556;261.0
Matão;412;79018;521.0
Santana de Parnaíba;407;157395;259.0
Guaratinguetá;405;118349;342.0
Itapira;403;72187;558.0
Tatuí;397;125110;317.0
Votorantim;382;129255;296.0
Bebedouro;381;76339;499.0
Leme;376;98373;382.0
Embu-Guaçu;354;66979;529.0
São Sebastião;348;81958;425.0
Boituva;339;62054;546.0
Cruzeiro;333;74529;447.0
Ibiúna;329;75753;434.0
Ourinhos;325;103680;313.0
Pirassununga;324;73665;440.0
Salto;323;136375;237.0
São Roque;322;79332;406.0
Assis;309;101665;304.0
Lorena;300;84830;354.0
Cosmópolis;284;59707;476.0
Ibitinga;277;60442;458.0
3546801.0;267;0;inf
Monte Mor;265;65713;403.0
Itupeva;261;72596;360.0
Itapeva;252;89670;281.0
Votuporanga;250;97487;256.0
Vargem Grande Paulista;247;50875;486.0
Vinhedo;237;77402;306.0
Mococa;232;67609;343.0
Registro;232;60211;385.0
Avaré;232;93319;249.0
Artur Nogueira;229;51964;441.0
Guariba;225;37516;600.0
Jarinu;218;38541;566.0
Nova Odessa;213;62711;340.0
Campos do Jordão;212;46787;453.0
Miracatu;205;18330;1118.0
Andradina;201;60012;335.0
Louveira;199;52901;376.0
Jardinópolis;195;45773;426.0
Jales;191;48835;391.0
Fernandópolis;190;71620;265.0
Penápolis;188;61805;304.0
Porto Ferreira;187;52584;356.0
Guararema;186;31576;589.0
São João da Boa Vista;180;93161;193.0
Juquitiba;179;27189;658.0
Serrana;177;44258;400.0
Aparecida;173;32272;536.0
Araçariguama;172;21856;787.0
Garça;169;41973;403.0
Porto Feliz;167;56952;293.0
Tietê;163;23025;708.0
3546405.0;163;0;inf
Cabreúva;163;47414;344.0
Taquaritinga;162;51984;312.0
Amparo;154;68015;226.0
Araçoiaba da Serra;154;32826;469.0
Mairinque;153;50394;304.0
Olímpia;152;55405;274.0
Mirassol;150;64011;234.0
Pedreira;149;43194;345.0
Rio Grande da Serra;147;44032;334.0
Miguelópolis;145;19292;752.0
Vargem Grande do Sul;145;40129;361.0
Itápolis;140;39355;356.0
São Joaquim da Barra;140;48674;288.0
3546702.0;140;0;inf
Salto de Pirapora;139;43969;316.0
Tupã;134;63841;210.0
Itararé;133;3549;3748.0
Capão Bonito;133;46264;287.0
Batatais;131;58450;224.0
Pederneiras;129;45053;286.0
