"Local", "PIB per capita"
"Adamantina", 38997.12
"Adolfo", 32578.28
"Aguaí", 35551.7
"Águas da Prata", 25297.02
"Águas de Lindóia", 30971.23
"Águas de Santa Bárbara", 35378.64
"Águas de São Pedro", 41208.23
"Agudos", 70209.74
"Alambari", 20765.46
"Alfredo Marcondes", 28649.11
"Altair", 26662.17
"Altinópolis", 51377.61
"Alto Alegre", 27853.08
"Alumínio", 210670.96
"Álvares Florence", 34389.1
"Álvares Machado", 28306.72
"Álvaro de Carvalho", 11012.49
"Alvinlândia", 17965.24
"Americana", 62271.47
"Américo Brasiliense", 29617.13
"Américo de Campos", 21158.4
"Amparo", 70437.56
"Analândia", 40726.1
"Andradina", 49703.65
"Angatuba", 57306.48
"Anhembi", 24534.54
"Anhumas", 25316.58
"Aparecida", 28750.03
"Aparecida d'Oeste", 36763.62
"Apiaí", 37278.88
"Araçariguama", 206250.44
"Araçatuba", 45268.6
"Araçoiaba da Serra", 34075.1
"Aramina", 26415.31
"Arandu", 30569.27
"Arapeí", 18584.03
"Araraquara", 49692.93
"Araras", 50772.4
"Arco-Íris", 35382.28
"Arealva", 26206.9
"Areias", 14877.99
"Areiópolis", 14577.19
"Ariranha", 115410.74
"Artur Nogueira", 30610.29
"Arujá", 89703.63
"Aspásia", 21788.35
"Assis", 38598.78
"Atibaia", 57512.36
"Auriflama", 23409.76
"Avaí", 68793.46
"Avanhandava", 14178.27
"Avaré", 35721.22
"Bady Bassitt", 30636.12
"Balbinos", 10674.14
"Bálsamo", 30257.55
"Bananal", 19568.66
"Barão de Antonina", 21264.23
"Barbosa", 14488.16
"Bariri", 45290.86
"Barra Bonita", 41955.79
"Barra do Chapéu", 23082.16
"Barra do Turvo", 16542.32
"Barretos", 47783.95
"Barrinha", 18630.66
"Barueri", 207460.98
"Bastos", 50936.28
"Batatais", 38097.08
"Bauru", 43806.93
"Bebedouro", 52575.43
"Bento de Abreu", 69504.55
"Bernardino de Campos", 33842.25
"Bertioga", 31255.51
"Bilac", 35693.15
"Birigui", 31305.12
"Biritiba Mirim", 29190.32
"Boa Esperança do Sul", 25197.09
"Bocaina", 22429.71
"Bofete", 17546.39
"Boituva", 53597.04
"Bom Jesus dos Perdões", 55196.42
"Bom Sucesso de Itararé", 15912.41
"Borá", 88432.72
"Boracéia", 105669.34
"Borborema", 31833.29
"Borebi", 27255.19
"Botucatu", 39937.48
"Bragança Paulista", 46153.09
"Braúna", 20826.02
"Brejo Alegre", 25996.26
"Brodowski", 34947.5
"Brotas", 45209.02
"Buri", 34121.21
"Buritama", 36037.97
"Buritizal", 53769.11
"Cabrália Paulista", 24368.03
"Cabreúva", 116591.7
"Caçapava", 54458.95
"Cachoeira Paulista", 19914.05
"Caconde", 30182.07
"Cafelândia", 38094.8
"Caiabu", 16640.38
"Caieiras", 46700.03
"Caiuá", 15997.16
"Cajamar", 287384.67
"Cajati", 61714.65
"Cajobi", 16049.99
"Cajuru", 28623.2
"Campina do Monte Alegre", 24817.17
"Campinas", 59634.21
"Campo Limpo Paulista", 29291.03
"Campos do Jordão", 27503.81
"Campos Novos Paulista", 38724.17
"Cananéia", 21082
"Canas", 24688.77
"Cândido Mota", 48339.61
"Cândido Rodrigues", 38184.58
"Canitar", 30627.93
"Capão Bonito", 26945.89
"Capela do Alto", 18457.62
"Capivari", 52495.21
"Caraguatatuba", 36201.7
"Carapicuíba", 16909.54
"Cardoso", 25957.47
"Casa Branca", 38464.9
"Cássia dos Coqueiros", 117809.94
"Castilho", 64508.48
"Catanduva", 42386.42
"Catiguá", 19342.42
"Cedral", 56401.2
"Cerqueira César", 46928.25
"Cerquilho", 46293.89
"Cesário Lange", 39826.25
"Charqueada", 29370.12
"Clementina", 20959.14
"Colina", 82881.19
"Colômbia", 59974.07
"Conchal", 30159.5
"Conchas", 23872.16
"Cordeirópolis", 163554.17
"Coroados", 35303.73
"Coronel Macedo", 30746.6
"Corumbataí", 84731.24
"Cosmópolis", 28255.87
"Cosmorama", 69530.67
"Cotia", 62486.58
"Cravinhos", 48891.09
"Cristais Paulista", 39369.07
"Cruzália", 68116.76
"Cruzeiro", 38390.41
"Cubatão", 165607.5
"Cunha", 15269.84
"Descalvado", 61036.51
"Diadema", 43031.91
"Dirce Reis", 38685.19
"Divinolândia", 44568.55
"Dobrada", 15286.82
"Dois Córregos", 30150.85
"Dolcinópolis", 27963.37
"Dourado", 90318.49
"Dracena", 30557.62
"Duartina", 20338.59
"Dumont", 33647.69
"Echaporã", 25295.64
"Eldorado", 21122.95
"Elias Fausto", 55521.14
"Elisiário", 20323.57
"Embaúba", 23385.21
"Embu das Artes", 51258.86
"Embu-Guaçu", 20683.01
"Emilianópolis", 24451.77
"Engenheiro Coelho", 30446.44
"Espírito Santo do Pinhal", 46311.65
"Espírito Santo do Turvo", 18630.23
"Estrela d'Oeste", 89460.5
"Estrela do Norte", 22511.33
"Euclides da Cunha Paulista", 14708.88
"Fartura", 29419.47
"Fernandópolis", 35430.06
"Fernando Prestes", 35416.65
"Fernão", 46552.1
"Ferraz de Vasconcelos", 23863.13
"Flora Rica", 30176.19
"Floreal", 28393.24
"Flórida Paulista", 17731.75
"Florínea", 65354.84
"Franca", 31450.1
"Francisco Morato", 10439.01
"Franco da Rocha", 27126.51
"Gabriel Monteiro", 33755.37
"Gália", 26907.52
"Garça", 38831.12
"Gastão Vidigal", 17476.7
"Gavião Peixoto", 244615.79
"General Salgado", 25343.09
"Getulina", 18806.06
"Glicério", 25880.65
