"Local", "Taxa de escolarização de 6 a 14 anos de idade"
"Adamantina", 97.6
"Adolfo", 98.6
"Aguaí", 95.8
"Águas da Prata", 98.8
"Águas de Lindóia", 96.2
"Águas de Santa Bárbara", 98.2
"Águas de São Pedro", 98.4
"Agudos", 97.9
"Alambari", 99.3
"Alfredo Marcondes", 98.6
"Altair", 96
"Altinópolis", 99.3
"Alto Alegre", 95.1
"Alumínio", 98.8
"Álvares Florence", 99.3
"Álvares Machado", 98.3
"Álvaro de Carvalho", 99.2
"Alvinlândia", 99.3
"Americana", 98
"Américo Brasiliense", 98.6
"Américo de Campos", 98.2
"Amparo", 95.7
"Analândia", 99.7
"Andradina", 98.2
"Angatuba", 98.3
"Anhembi", 97.2
"Anhumas", 98.3
"Aparecida", 98.4
"Aparecida d'Oeste", 97.7
"Apiaí", 97.3
"Araçariguama", 98.2
"Araçatuba", 97.6
"Araçoiaba da Serra", 99.4
"Aramina", 98.7
"Arandu", 98.4
"Arapeí", 98.7
"Araraquara", 98.7
"Araras", 97.5
"Arco-Íris", 99.1
"Arealva", 99.6
"Areias", 96.8
"Areiópolis", 97.3
"Ariranha", 99.6
"Artur Nogueira", 98.3
"Arujá", 98.2
"Aspásia", 97.1
"Assis", 98.9
"Atibaia", 97.3
"Auriflama", 98.8
"Avaí", 99.4
"Avanhandava", 97.2
"Avaré", 97.9
"Bady Bassitt", 98.5
"Balbinos", 98.9
"Bálsamo", 99
"Bananal", 97.1
"Barão de Antonina", 100
"Barbosa", 98.4
"Bariri", 96.3
"Barra Bonita", 99.8
"Barra do Chapéu", 96.9
"Barra do Turvo", 95.6
"Barretos", 97.8
"Barrinha", 97.5
"Barueri", 97.8
"Bastos", 98.5
"Batatais", 97.7
"Bauru", 96.9
"Bebedouro", 98.5
"Bento de Abreu", 97.9
"Bernardino de Campos", 98.3
"Bertioga", 98.1
"Bilac", 99
"Birigui", 98
"Biritiba Mirim", 97.7
"Boa Esperança do Sul", 96
"Bocaina", 99.3
"Bofete", 95.1
"Boituva", 98.7
"Bom Jesus dos Perdões", 97.7
"Bom Sucesso de Itararé", 98.3
"Borá", 94.6
