Municipio,Agropecuaria_R$mil,Industria_R$mil,Servicos_R$mil,Total_sem_AP_R$mil,Total_geral_R$mil,Impostos_R$mil,PIB_total_R$mil,PIB_per_capita_R$
ESTADO DE SÃO PAULO,46193517.925000004,518292531.77000046,206915184.03199998,1474964197.392001,2246365431.1250033,473385800.2710002,2719751231.375002,60583.08784642709
Adamantina,54224.142,178323.41,228217.171,785582.034,1246346.757,124519.171,1370865.929,40475.536006377515
Adolfo,22826.148,17782.937,27140.209,42622.327,110371.621,5118.367,115489.988,33611.754365541325
Aguaí,121795.919,358840.73,151739.51,437984.526,1070360.685,244376.572,1314737.257,36637.51587014073
Águas da Prata,25096.376,25550.804,36922.718,106278.688,193848.586,15155.406,209003.992,26771.358012040477
Águas de Lindóia,10298.965,41438.678,114950.716,372529.721,539218.08,46385.86,585603.941,31760.708374010195
Águas de Santa Bárbara,70378.677,9944.378,41021.111,82958.154,204302.32,12993.261,217295.581,36477.351183481616
Águas de São Pedro,0.0,8858.841,31514.802,98194.675,138568.318,9286.817,147855.135,47027.71469465649
Agudos,85373.367,1120495.303,207612.863,780808.117,2194289.65,444332.962,2638622.611,72779.55071024687
Alambari,35450.074,11402.717,32355.482,42753.369,121961.643,7427.919,129389.561,22095.211919398906
Alfredo Marcondes,9081.353,21154.99,24617.494,35648.145,90501.981,29852.924,120354.905,30671.484454638125
Altair,48058.627,5048.541,29230.491,24150.276,106487.936,5786.449,112274.385,27708.387216189534
Altinópolis,386045.395,28793.595,82123.3,296402.138,793364.428,40031.851,833396.279,53604.95780536438
Alto Alegre,38450.218,7851.695,26679.913,34981.123,107962.95,5621.929,113584.879,28353.689216175735
Alumínio,1155.379,2236917.868,117203.345,793351.243,3148627.836,833685.242,3982313.077,220394.76877525044
Álvares Florence,60047.108,4639.805,25587.09,30252.83,120526.834,3824.157,124350.991,34580.36457174639
Álvares Machado,43126.087,121125.549,111961.378,335572.053,611785.067,98090.919,709875.985,29791.67303172738
Álvaro de Carvalho,11040.51,2988.031,23331.816,19064.229,56424.586,2161.887,58586.473,11535.040952943493
Alvinlândia,14785.63,3008.25,21289.36,17207.521,56290.761,2114.228,58404.989,18308.77398119122
Americana,14187.998,4499621.881,1169763.33,7144793.007,12828366.216,2388913.567,15217279.783,64733.72235669467
Américo Brasiliense,21524.539,363182.168,206818.123,506588.317,1098113.146,132330.503,1230443.649,30249.868448225
Américo de Campos,38291.032,3852.177,33232.582,46794.721,122170.512,4631.782,126802.294,22129.54520069808
Amparo,120904.072,2105977.151,372174.994,1830744.15,4429800.367,722355.147,5152155.514,73748.66540702252
Analândia,46530.602,55494.842,35351.738,61449.911,198827.093,9486.911,208314.004,42556.48702757916
Andradina,170531.469,808159.873,297745.612,1295767.928,2572204.882,273080.342,2845285.223,50729.85224740136
